PARAMETER,unit.types,max.unit,second.unit,third.unit,fourth.unit
Carbonaceous Biochemical Oxygen Demand (CBOD) (5-day @ 20 Deg. C),1,mg/L,NA,NA,NA
"Carbonaceous Biochemical Oxygen Demand (CBOD) (5-day @ 20 Deg. C), Percent Removal",1,%,NA,NA,NA
Carbonate Ion (as CO3),1,mg/L,NA,NA,NA
Chemical Oxygen Demand (COD),1,mg/L,NA,NA,NA
Chlordane,1,ug/L,NA,NA,NA
Chloride,1,mg/L,NA,NA,NA
"Chlorine, Total Residual",1,mg/L,NA,NA,NA
Chlorobenzene,1,ug/L,NA,NA,NA
Chlorodibromomethane,1,ug/L,NA,NA,NA
Chloroethane,2,ug/L,mg/L,NA,NA
Chloroform,1,ug/L,NA,NA,NA
Chloromethane,1,ug/L,NA,NA,NA
Chlorpyrifos,1,ug/L,NA,NA,NA
Chromium (III),2,mg/L,ug/L,NA,NA
Chromium (III) Dissolved,2,mg/L,ug/L,NA,NA
Chromium (Total),2,mg/L,ug/L,NA,NA
Chromium (VI),2,ug/L,mg/L,NA,NA
Chromium (VI) Dissolved,2,mg/L,ug/L,NA,NA
Chromium (VI) Total Recoverable,1,ug/L,NA,NA,NA
"Chromium, Dissolved",2,mg/L,ug/L,NA,NA
"Chromium, Total Recoverable",2,mg/L,ug/L,NA,NA
Chronic Toxicity,1,TUc,NA,NA,NA
Chrysene,1,ug/L,NA,NA,NA
"cis-1,2-Dichloroethene",1,ug/L,NA,NA,NA
"cis-1,2-Dichloroethylene",2,ug/L,mg/L,NA,NA
"cis-1,3-Dichloropropene",1,ug/L,NA,NA,NA
"cis-1,3-Dichloropropylene",1,ug/L,NA,NA,NA
cis-Nonachlor,2,ug/L,pg/L,NA,NA
"Cobalt, Dissolved",2,mg/L,ug/L,NA,NA
"Cobalt, Total",2,mg/L,ug/L,NA,NA
"Cobalt, Total Recoverable",1,mg/L,NA,NA,NA
"Copper, Dissolved",2,mg/L,ug/L,NA,NA
"Copper, Total",2,mg/L,ug/L,NA,NA
"Copper, Total Recoverable",2,ug/L,mg/L,NA,NA
"Cyanide, (WAD)",1,mg/L,NA,NA,NA
"Cyanide, Free Available",1,mg/L,NA,NA,NA
"Cyanide, Total (as CN)",2,mg/L,ug/L,NA,NA
"DDT/DDD/DDE, Sum of P,P & O,P Isomers",1,ug/L,NA,NA,NA
delta-BHC,2,ug/L,pg/L,NA,NA
Di-n-butyl Phthalate,1,ug/L,NA,NA,NA
Di-n-octyl Phthalate,1,ug/L,NA,NA,NA
Di (2-ethylhexyl) adipate,1,mg/L,NA,NA,NA
Diazinon,1,ug/L,NA,NA,NA
"Dibenzo(a,h)anthracene",1,ug/L,NA,NA,NA
Dibenzofuran,1,ug/L,NA,NA,NA
Dibromochloromethane,1,ug/L,NA,NA,NA
Dibromodichloromethane,1,ug/L,NA,NA,NA
Dibromomethane,1,ug/L,NA,NA,NA
"Dichlorobenzenes, Sum",2,ug/L,ng/L,NA,NA
Dichlorobromomethane,1,ug/L,NA,NA,NA
Dichlorodifluoromethane,1,ug/L,NA,NA,NA
Dieldrin,2,ug/L,pg/L,NA,NA
Diesel Oil,2,mg/L,ug/L,NA,NA
Diethyl Phthalate,1,ug/L,NA,NA,NA
Dimethoate,1,ug/L,NA,NA,NA
Dimethyl Phthalate,2,ug/L,mg/L,NA,NA
Dioxane,1,ug/L,NA,NA,NA
Dissolved Oxygen,1,mg/L,NA,NA,NA
"Dissolved Oxygen, saturation",1,%,NA,NA,NA
Disulfoton,1,ug/L,NA,NA,NA
Diuron,1,ug/L,NA,NA,NA
E.coli,1,MPN/100 mL,NA,NA,NA
Electrical Conductivity @ 25 Deg. C,1,umhos/cm,NA,NA,NA
Endosulfan I,1,ug/L,NA,NA,NA
Endosulfan II,1,ug/L,NA,NA,NA
Endosulfan Sulfate,2,ug/L,pg/L,NA,NA
Endrin,2,ug/L,pg/L,NA,NA
Endrin Aldehyde,2,ug/L,pg/L,NA,NA
Endrin ketone,1,mg/L,NA,NA,NA
Enterococci CFU,1,CFU/100 mL,NA,NA,NA
Enterococci MPN,1,MPN/100 mL,NA,NA,NA
Ethanol,1,mg/L,NA,NA,NA
Ethyl-Tert Butyl Ether (ETBE),1,ug/L,NA,NA,NA
Ethylbenzene,2,ug/L,mg/L,NA,NA
Ethylene glycol,1,mg/L,NA,NA,NA
Fecal Coliform,1,MPN/100 mL,NA,NA,NA
Fecal Streptococci,1,MPN/100 mL,NA,NA,NA
Fixed Dissolved Solids (FDS),1,mg/L,NA,NA,NA
Fluoranthene,2,ug/L,mg/L,NA,NA
Fluorene,1,ug/L,NA,NA,NA
"Fluoride, Total",1,mg/L,NA,NA,NA
gamma-BHC,2,ug/L,pg/L,NA,NA
gamma-Chlordane,2,ug/L,pg/L,NA,NA
Gasoline,2,mg/L,ug/L,NA,NA
"Glyphosate, Total",1,ug/L,NA,NA,NA
Halogenated Volatile Organic Compounds (HVOC),1,ug/L,NA,NA,NA
